رقم العمليه,التاريخ,الصنف,الكمية,السعر,الإجمالي,المدفوع,المتبقي,المتبقي الكلي,ملاحظه,الوقت
1,02/10/2023,رصيد إفتتاحي,1.0,551000.0,551000.0,0.0,551000.0,551000.0,الملاحظات,16:11:04
2,07/10/2023,مبلغ مدفوع,1.0,0.0,0.0,200000.0,-200000.0,351000.0,الملاحظات,22:31:45
3,14/10/2023,مبلغ مدفوع,1.0,0.0,0.0,200000.0,-200000.0,151000.0,الملاحظات,02:42:09
4,14/10/2023,مبلغ مدفوع,1.0,0.0,0.0,200000.0,-200000.0,-49000.0,الملاحظات,22:39:47
5,2023-10-27,2,5.0,20.0,100.0,90.0,10.0,-49000.0,لا يوجد,16:27:00
6,2023-10-27,2,5.0,20.0,100.0,90.0,10.0,-48990.0,لا يوجد,16:27:00
