رقم العمليه,التاريخ,الصنف,الكمية,السعر,الإجمالي,المدفوع,المتبقي,المتبقي الكلي,ملاحظه,الوقت
1,02/10/2023,رصيد إفتتاحي,1.0,116250.0,116250.0,0.0,116250.0,116250,الملاحظات,16:11:44
2,08/10/2023,شكائر ارز خليط 25 ك,260.0,520.0,135200.0,0.0,135200.0,251450,الملاحظات,00:08:15
3,08/10/2023,مبلغ مدفوع,1.0,0.0,0.0,80000.0,-80000.0,171450,الملاحظات,23:54:59
4,09/10/2023,مبلغ مدفوع,1.0,0.0,0.0,20000.0,-20000.0,151450,الملاحظات,00:17:48
5,10/10/2023,مبلغ مدفوع,1.0,0.0,0.0,65000.0,-65000.0,86450,الملاحظات,01:06:32
6,11/10/2023,شكائر ارز رفيع طبيعي 25 ك,400.0,520.0,208000.0,0.0,208000.0,294450,الملاحظات,00:50:01
7,11/10/2023,مبلغ مدفوع,1.0,0.0,0.0,35000.0,-35000.0,259450,الملاحظات,01:28:12
8,12/10/2023,مبلغ مدفوع,1.0,0.0,0.0,30000.0,-30000.0,229450,الملاحظات,02:08:34
9,14/10/2023,مبلغ مدفوع,1.0,0.0,0.0,30000.0,-30000.0,199450,الملاحظات,02:41:36
10,14/10/2023,مبلغ مدفوع,1.0,0.0,0.0,30000.0,-30000.0,169450,الملاحظات,22:38:31
11,2023-10-27,2,5.0,20.0,100.0,90.0,10.0,169450,لا يوجد,16:27:00
